demo,indexlist
three_wooden1_sam2_contour,"[0, 46, 97, 179, 227, 274, 385, 498, 595, 613, 630]"
three_wooden2_sam2_contour,"[0, 29, 56, 132, 217, 277, 330, 426, 453, 544, 643, 699]"
three_wooden3_sam2_contour,"[0, 97, 176, 227, 272, 365, 386, 495, 514, 600, 621, 680]"
three_wooden4_sam2_contour,"[0, 99, 182, 235, 284, 393, 447, 509, 629, 688]"
three_wooden5_sam2_contour,"[0, 16, 36, 77, 174, 269, 322, 379, 472, 491, 542, 602, 655, 700]"
three_wooden6_sam2_contour,"[0, 15, 81, 164, 221, 282, 375, 444, 506, 600, 636]"
three_wooden7_sam2_contour,"[0, 49]"
